Open,High,Low,Close,Adj Close,Volume
101.33000183105469,101.58999633789062,98.75,98.83999633789062,72.39363861083984,8895900
99.11000061035156,100.30000305175781,98.76000213623047,99.38999938964844,72.7964859008789,6754700
99.47000122070312,100.4000015258789,98.68000030517578,99.83000183105469,73.1187515258789,8163800
100.08999633789062,100.7699966430664,99.87000274658203,100.5999984741211,73.6827163696289,6775300
100.87999725341797,100.93000030517578,99.51000213623047,99.63999938964844,72.9795913696289,4433700
100.23999786376953,100.44999694824219,99.3499984741211,99.69999694824219,73.0235366821289,5075400
99.62000274658203,100.11000061035156,99.3499984741211,99.93000030517578,73.19200897216797,4622500
100.37000274658203,100.6500015258789,100.06999969482422,100.56999969482422,73.66073608398438,4022700
100.18000030517578,100.43000030517578,99.61000061035156,100.3499984741211,73.49961853027344,4134800
100.58999633789062,101.19999694824219,100.05000305175781,100.55000305175781,73.64611053466797,4555800
100.9000015258789,101.87000274658203,100.73999786376953,101.55999755859375,74.38587188720703,4844500
101.7699966430664,101.80000305175781,100.69999694824219,101.26000213623047,74.16612243652344,4763300
101.38999938964844,102.22000122070312,101.2699966430664,101.73999786376953,74.51771545410156,5630400
101.70999908447266,101.88999938964844,100.04000091552734,100.94999694824219,73.9390640258789,6059700
101.0199966430664,101.0199966430664,98.41000366210938,98.75,72.32774353027344,11654100
98.41000366210938,99.51000213623047,98.05000305175781,99.2300033569336,72.6793212890625,7544000
99.54000091552734,99.70999908447266,98.69000244140625,99.18000030517578,72.64266204833984,4607100
98.56999969482422,98.94000244140625,98.3499984741211,98.69000244140625,72.28378295898438,5135000
98.04000091552734,98.80999755859375,97.69999694824219,98.69000244140625,72.28378295898438,6104900
99.04000091552734,99.26000213623047,98.25,99.05000305175781,72.54747772216797,6574200
99.45999908447266,99.48999786376953,98.36000061035156,98.4000015258789,72.07138061523438,6141300
98.26000213623047,98.81999969482422,98.26000213623047,98.62000274658203,72.23248291015625,3984000
99.18000030517578,100.2699966430664,99.04000091552734,100.01000213623047,73.2505874633789,5600900
99.95999908447266,100.0,99.33999633789062,99.48999786376953,72.86972045898438,3486600
99.56999969482422,101.18000030517578,99.55999755859375,100.91000366210938,73.90979766845703,6029900
101.12000274658203,101.29000091552734,99.5999984741211,100.05000305175781,73.27989196777344,5433600
100.05999755859375,100.45999908447266,99.69999694824219,99.98999786376953,73.23594665527344,3608800
99.5199966430664,99.66000366210938,98.94000244140625,99.47000122070312,72.8551025390625,3874700
99.72000122070312,99.91999816894531,99.27999877929688,99.6500015258789,72.9869384765625,2971100
99.51000213623047,99.63999938964844,98.94999694824219,99.55000305175781,72.91368865966797,3520800
99.66000366210938,99.75,98.30999755859375,98.61000061035156,72.22518157958984,5260500
98.36000061035156,99.44000244140625,98.36000061035156,99.26000213623047,72.70127868652344,3996300
99.66000366210938,100.25,99.41000366210938,99.98999786376953,73.23594665527344,4931700
100.12000274658203,100.75,100.0,100.48999786376953,73.60215759277344,4474800
100.1500015258789,100.75,100.1500015258789,100.66000366210938,73.72665405273438,3918900
100.80999755859375,101.04000091552734,100.4000015258789,100.80999755859375,73.8365478515625,4166500
100.76000213623047,100.76000213623047,100.05000305175781,100.31999969482422,73.47763061523438,3661800
100.02999877929688,100.75,99.5,100.36000061035156,73.50694274902344,4044500
99.7699966430664,100.0999984741211,99.5,99.77999877929688,73.59544372558594,4365800
99.86000061035156,99.87999725341797,99.26000213623047,99.27999877929688,73.22666931152344,5461000
99.27999877929688,99.68000030517578,99.13999938964844,99.25,73.20454406738281,4086100
99.2699966430664,99.63999938964844,98.95999908447266,99.5,73.3889389038086,4311700
99.41999816894531,100.3499984741211,98.83999633789062,99.94000244140625,73.71348571777344,6313200
99.18000030517578,100.19999694824219,99.0999984741211,99.88999938964844,73.67660522460938,6713900
100.0,100.44000244140625,99.54000091552734,100.18000030517578,73.89047241210938,5873500
97.0,97.6500015258789,96.45999908447266,96.95999908447266,71.51548767089844,16841200
97.44999694824219,97.5999984741211,96.52999877929688,96.83999633789062,71.4269790649414,7808700
97.05000305175781,97.4800033569336,96.58000183105469,96.66000366210938,71.2942123413086,4503100
96.98999786376953,97.29000091552734,96.37000274658203,96.77999877929688,71.38272857666016,6350900
96.69000244140625,97.44000244140625,96.68000030517578,97.29000091552734,71.75890350341797,7209100
97.1500015258789,98.19000244140625,97.1500015258789,98.04000091552734,72.31206512451172,5768200
98.41999816894531,98.55000305175781,97.56999969482422,97.66000366210938,72.03177642822266,7337000
97.36000061035156,98.0999984741211,97.31999969482422,97.7300033569336,72.08341979980469,4634500
97.45999908447266,97.8499984741211,97.06999969482422,97.6500015258789,72.02440643310547,4757100
97.52999877929688,97.81999969482422,96.72000122070312,96.72000122070312,71.33847045898438,6038600
96.12999725341797,96.4800033569336,95.7699966430664,95.80000305175781,70.6598892211914,7721200
95.91000366210938,95.94000244140625,95.12999725341797,95.55000305175781,70.47551727294922,6041500
96.16000366210938,97.02999877929688,96.0999984741211,96.97000122070312,71.52284240722656,5644100
97.29000091552734,97.83000183105469,97.06999969482422,97.33999633789062,71.79580688476562,4877500
97.5199966430664,97.83999633789062,97.05999755859375,97.08000183105469,71.60400390625,5055400
96.94999694824219,97.69999694824219,96.93000030517578,97.63999938964844,72.01703643798828,4103600
97.87999725341797,98.25,97.76000213623047,98.0999984741211,72.3563232421875,4429500
97.81999969482422,98.80999755859375,97.68000030517578,98.36000061035156,72.548095703125,4603000
98.30999755859375,99.41000366210938,98.30000305175781,99.4000015258789,73.31519317626953,5422200
